Pile_length,Rdc_LT,Rdt_LT
1,15.16368012,4.306794497
2,36.11705469,12.41824535
3,62.23979931,23.92671081
4,93.34995909,38.83219087
5,129.4816506,57.13468554
6,170.6689903,78.83419482
7,216.9119782,103.9307187
8,268.2106144,132.4242572
9,324.5648988,164.3148103
10,385.9748315,199.602378
11,452.4404124,238.2869602
12,523.9616416,280.3685571
13,600.5385189,325.8471687
14,682.1710446,374.7227948
15,768.8592184,426.9954355
16,860.6030405,482.6650908
17,957.4025109,541.7317607
18,1059.257629,604.1954452
19,1166.168396,670.0561444
20,1278.134811,739.3138581
21,1395.156875,811.9685865
22,1517.234586,888.0203294
23,1644.367946,967.469087
24,1776.556954,1050.314859
25,1913.80161,1136.557646
26,2056.693268,1226.197447
27,2205.60721,1319.234263
28,2359.690521,1415.668094
29,2518.943203,1515.498939
30,2683.365255,1618.726799
31,2852.956676,1725.351673
32,3027.717468,1835.373562
33,3207.64763,1948.792466
34,3392.747162,2065.608384
35,3583.016064,2185.821317
36,3778.454336,2309.431264
37,3979.061978,2436.438226
38,4183.558428,2566.842203
39,4388.318395,2700.643194
40,4593.078361,2837.8412
41,4797.838328,2978.43622
42,5002.598295,3122.428255
43,5207.358262,3269.817305
44,5412.118229,3420.603369
45,5616.878196,3574.786448
46,5821.638163,3732.366542
47,6026.39813,3893.34365
48,6231.158097,4057.717772
49,6435.918063,4225.48891
50,6640.67803,4396.657061
